"AtomID","TEST","detail"
"111854_1750412601_1_4032059#1750728616#6369#Rest","TEST6","TEST6: content_duplicate_full"
"111854_1750412601_1_4032059#1751166640#7069#Rest","TEST6","TEST6: content_duplicate_full"
"111854_1750412601_1_4032059#1751611668#8147#Wake","TEST6","TEST6: content_duplicate_full"
"111705_1749224532_1_4032059#1750086869#9308#Rest","TEST6","TEST6: content_duplicate_full"
"110864_1749729228_1_4032059#1749793333#61310#Wake","TEST6","TEST6: content_duplicate_full"
"111706_1749476168_1_4032059#1749963759#56984#Wake","TEST6","TEST6: content_duplicate_full"
"111710_1749218067_1_4032059#1750290544#23270#Rest","TEST6","TEST6: content_duplicate_full"
"111707_1749218555_1_4032059#1750315685#55048#Wake","TEST6","TEST6: content_duplicate_full"
"111853_1749724462_1_4032059#1750057928#66500#Wake","TEST6","TEST6: content_duplicate_full"
"111854_1750412601_1_4032059#1751611668#8147#Wake","TEST6","TEST6: content_duplicate_full"
"111705_1749224532_1_4032059#1750312370#57505#Wake","TEST6","TEST6: content_duplicate_full"
"111710_1749218067_1_4032059#1749681606#25823#Rest","TEST6","TEST6: content_duplicate_full"
"111706_1749476168_1_4032059#1749590289#26653#Rest","TEST6","TEST6: content_duplicate_full"
"111707_1749218555_1_4032059#1749766229#31323#Rest","TEST6","TEST6: content_duplicate_full"
"111708_1749217464_1_4032059#1749701714#63065#Wake","TEST6","TEST6: content_duplicate_full"
"111710_1749218067_1_4032059#1749420883#27062#Rest","TEST6","TEST6: content_duplicate_full"
"111708_1749217464_1_4032059#1749677227#24487#Rest","TEST6","TEST6: content_duplicate_full"
"111706_1749476168_1_4032059#1750540026#28910#Rest","TEST6","TEST6: content_duplicate_full"
"111705_1749224532_1_4032059#1749417605#27300#Rest","TEST6","TEST6: content_duplicate_full"
"111710_1749218067_1_4032059#1749536949#55420#Wake","TEST6","TEST6: content_duplicate_full"
"111707_1749218555_1_4032059#1750055604#57639#Wake","TEST6","TEST6: content_duplicate_full"
"111705_1749224532_1_4032059#1749966314#55608#Wake","TEST6","TEST6: content_duplicate_full"
"111853_1749724462_1_4032059#1749720877#46692#Wake","TEST6","TEST6: content_duplicate_full"
"111707_1749218555_1_4032059#1749708380#57849#Wake","TEST6","TEST6: content_duplicate_full"
"111708_1749217464_1_4032059#1749504448#24461#Rest","TEST6","TEST6: content_duplicate_full"
"111854_1750412601_1_4032059#1751166640#7069#Rest","TEST6","TEST6: content_duplicate_full"
"111710_1749218067_1_4032059#1749770927#23889#Rest","TEST6","TEST6: content_duplicate_full"
"111705_1749224532_1_4032059#1749940382#25932#Rest","TEST6","TEST6: content_duplicate_full"
"111705_1749224532_1_4032059#1749797568#54561#Wake","TEST6","TEST6: content_duplicate_full"
"111853_1749724462_1_4032059#1750441527#2180#Rest","TEST6","TEST6: content_duplicate_full"
"111708_1749217464_1_4032059#1750282746#13251#Rest","TEST6","TEST6: content_duplicate_full"
"111854_1750412601_1_4032059#1750728616#6369#Rest","TEST6","TEST6: content_duplicate_full"
"111710_1749218067_1_4032059#1749355510#10417#Rest","TEST6","TEST6: content_duplicate_full"
"111854_1750412601_1_4032059#1750486219#77080#Wake","TEST6","TEST6: content_duplicate_full"
"111706_1749476168_1_4032059#1749676394#25750#Rest","TEST6","TEST6: content_duplicate_full"
"111707_1749218555_1_4032059#1750197641#29194#Rest","TEST6","TEST6: content_duplicate_full"
